City_ID,City,Cloudiness,Country,Current Description,Humidity,Lat,Max Temp,Rain (inches),Snow (inches),Wind Speed,lng
0,soyo,24,AO,few clouds,85,-6.13,73.42,0.0,0.0,6.17,12.37
1,ridgecrest,75,US,broken clouds,8,35.62,105.8,0.0,0.0,6.93,-117.67
2,luderitz,0,NA,clear sky,33,-26.65,62.6,0.0,0.0,4.7,15.16
3,hobart,40,AU,light rain,93,-42.88,50.0,0.25,0.25,3.36,147.33
4,marawi,99,PH,overcast clouds,90,8.0,77.0,0.0,0.0,5.99,124.29
5,esperance,0,AU,clear sky,87,-33.87,42.8,0.0,0.0,8.05,121.9
6,albany,1,US,clear sky,40,42.6,82.0,0.0,0.0,7.65,-73.97
7,bahia honda,76,CU,light rain,81,22.9,84.34,0.44,0.44,8.5,-83.16
8,ilulissat,23,GL,few clouds,80,69.22,41.0,0.0,0.0,5.82,-51.1
9,sept-iles,75,CA,broken clouds,72,50.2,68.0,0.0,0.0,9.17,-66.38
10,hermanus,0,ZA,clear sky,58,-34.42,59.97,0.0,0.0,5.17,19.23
11,jamestown,20,US,few clouds,45,42.1,69.01,0.0,0.0,16.11,-79.24
12,maymyo,100,MM,light rain,100,22.03,67.3,0.54,0.54,1.54,96.47
13,korla,16,CN,few clouds,24,41.76,74.7,0.0,0.0,19.82,86.15
14,atuona,30,PF,scattered clouds,70,-9.8,79.32,0.0,0.0,14.23,-139.03
15,salta,75,AR,broken clouds,68,-24.79,66.2,0.0,0.0,6.93,-65.41
16,punta arenas,75,CL,broken clouds,69,-53.15,39.2,0.0,0.0,16.11,-70.92
17,yellowknife,75,CA,shower rain,43,62.46,69.8,0.0,0.0,11.41,-114.35
18,mataura,50,NZ,scattered clouds,79,-46.19,47.98,0.0,0.0,8.63,168.86
19,huambo,0,AO,clear sky,46,-12.78,50.04,0.0,0.0,2.82,15.74
20,bredasdorp,0,ZA,clear sky,100,-34.53,51.8,0.0,0.0,3.96,20.04
21,zhigansk,28,RU,scattered clouds,53,66.77,69.64,0.0,0.0,11.5,123.37
22,port elizabeth,0,ZA,clear sky,50,-33.92,53.6,0.0,0.0,5.82,25.57
23,east london,0,ZA,clear sky,26,-33.02,68.61,0.0,0.0,7.05,27.91
24,bathsheba,20,BB,few clouds,74,13.22,82.4,0.0,0.0,24.16,-59.52
25,shenjiamen,100,CN,moderate rain,98,29.96,75.2,1.19,1.19,6.69,122.3
26,kodiak,90,US,light rain,76,57.79,53.6,0.0,0.0,6.93,-152.41
27,cap-aux-meules,5,CA,clear sky,73,47.38,73.4,0.0,0.0,14.99,-61.86
28,itabirito,95,BR,overcast clouds,81,-20.25,56.07,0.0,0.0,3.15,-43.8
29,puerto ayora,48,EC,scattered clouds,88,-0.74,72.0,0.0,0.0,4.0,-90.35
30,quatre cocos,40,MU,shower rain,83,-20.21,71.6,0.0,0.0,9.17,57.76
31,ous,100,RU,moderate rain,96,60.91,45.64,1.39,1.39,8.66,61.52
32,barrow,40,US,scattered clouds,74,71.29,35.6,0.0,0.0,6.93,-156.79
33,kaitangata,95,NZ,overcast clouds,92,-46.28,48.0,0.0,0.0,13.0,169.85
34,puerto madero,40,MX,scattered clouds,59,14.72,89.6,0.0,0.0,11.41,-92.42
35,lagoa,0,PT,clear sky,68,39.05,63.27,0.0,0.0,10.76,-27.98
36,la ronge,75,CA,light rain,88,55.1,66.2,0.0,0.0,4.7,-105.28
37,bengkulu,98,ID,overcast clouds,69,-3.8,76.71,0.0,0.0,2.26,102.27
38,klaksvik,51,FO,broken clouds,93,62.23,50.0,0.0,0.0,13.87,-6.59
39,atasu,28,KZ,scattered clouds,62,48.68,57.15,0.0,0.0,6.13,71.64
40,abha,43,SA,scattered clouds,46,18.22,71.6,0.0,0.0,6.71,42.51
41,oranjestad,20,AW,few clouds,70,12.52,86.0,0.0,0.0,20.8,-70.03
42,kahului,40,US,scattered clouds,55,20.89,87.8,0.0,0.0,18.34,-156.47
43,bambous virieux,40,MU,shower rain,83,-20.34,71.6,0.0,0.0,9.17,57.76
44,aitape,85,PG,overcast clouds,72,-3.14,82.98,0.0,0.0,4.68,142.35
45,port alfred,0,ZA,clear sky,29,-33.59,69.01,0.0,0.0,8.99,26.89
46,mackay,0,AU,clear sky,81,-21.15,57.99,0.0,0.0,5.82,149.2
47,lompoc,94,US,overcast clouds,64,34.64,69.8,0.0,0.0,16.11,-120.46
48,vaini,75,TO,broken clouds,73,-21.2,77.0,0.0,0.0,6.93,-175.2
49,khlung,100,TH,overcast clouds,84,12.45,80.47,0.0,0.0,2.35,102.22
50,tymovskoye,100,RU,overcast clouds,92,50.85,49.01,0.0,0.0,6.76,142.66
51,dikson,99,RU,overcast clouds,82,73.51,40.05,0.0,0.0,12.08,80.55
52,geraldton,2,AU,clear sky,71,-28.77,55.4,0.0,0.0,12.75,114.6
53,pacific grove,1,US,clear sky,68,36.62,71.01,0.0,0.0,13.87,-121.92
54,upernavik,38,GL,scattered clouds,88,72.79,34.9,0.0,0.0,1.19,-56.15
55,isangel,75,VU,broken clouds,88,-19.55,77.0,0.0,0.0,10.94,169.27
56,khatanga,100,RU,overcast clouds,46,71.97,75.02,0.0,0.0,8.75,102.5
57,yining,100,CN,overcast clouds,93,29.04,76.23,0.0,0.0,0.72,114.56
58,ushuaia,90,AR,shower rain,93,-54.8,35.6,0.0,0.0,10.29,-68.3
59,bluff,59,NZ,broken clouds,81,-46.6,50.07,0.0,0.0,18.77,168.33
60,rocha,98,UY,overcast clouds,96,-34.48,57.92,0.0,0.0,4.16,-54.33
61,srednekolymsk,53,RU,broken clouds,29,67.45,75.16,0.0,0.0,5.08,153.68
62,thompson,75,CA,broken clouds,30,55.74,82.4,0.0,0.0,12.75,-97.86
63,katsuura,75,JP,light intensity shower rain,100,35.13,68.0,0.0,0.0,3.36,140.3
64,nikolskoye,60,RU,broken clouds,82,59.7,61.0,0.0,0.0,4.47,30.79
65,namibe,0,AO,clear sky,57,-15.2,69.55,0.0,0.0,4.7,12.15
66,avera,40,US,scattered clouds,94,33.19,86.0,0.0,0.0,12.75,-82.53
67,georgetown,20,MY,few clouds,88,5.41,78.8,0.0,0.0,5.82,100.34
68,padang,96,ID,overcast clouds,58,-0.95,78.67,0.0,0.0,5.12,100.35
69,avarua,55,CK,broken clouds,83,-21.21,77.0,0.0,0.0,10.29,-159.78
70,hilo,90,US,overcast clouds,69,19.73,80.6,0.0,0.0,16.11,-155.09
71,nicoya,75,CR,broken clouds,62,10.15,86.0,0.0,0.0,10.29,-85.45
72,fortuna,1,US,clear sky,82,40.6,69.01,0.0,0.0,18.34,-124.16
73,nouadhibou,0,MR,clear sky,73,20.93,71.6,0.0,0.0,17.22,-17.03
74,narsaq,100,GL,light rain,75,60.92,46.4,0.0,0.0,3.36,-46.05
75,madras,40,IN,scattered clouds,74,13.09,82.4,0.0,0.0,8.05,80.28
76,kefamenanu,85,ID,overcast clouds,92,-9.45,70.5,0.0,0.0,4.43,124.48
77,norman wells,90,CA,overcast clouds,81,65.28,51.8,0.0,0.0,10.29,-126.83
78,sri aman,100,MY,overcast clouds,100,1.24,73.4,0.0,0.0,3.36,111.46
79,siderno,0,IT,clear sky,60,38.28,73.0,0.0,0.0,2.24,16.3
80,wenling,100,CN,overcast clouds,99,28.37,81.0,0.0,0.0,10.71,121.36
81,pevek,93,RU,overcast clouds,96,69.7,32.32,0.0,0.0,4.38,170.31
82,ribeira grande,0,PT,clear sky,68,38.52,63.43,0.0,0.0,10.58,-28.7
83,new norfolk,82,AU,broken clouds,94,-42.78,50.0,0.0,0.0,2.48,147.06
84,lorengau,3,PG,light rain,78,-2.02,84.02,0.13,0.13,11.14,147.27
85,wenchi,57,GH,light rain,96,7.74,72.27,0.15,0.15,5.59,-2.1
86,severo-kurilsk,8,RU,clear sky,75,50.68,52.45,0.0,0.0,6.89,156.12
87,chuy,100,UY,light rain,98,-33.7,62.78,0.62,0.62,1.88,-53.46
88,zasheyek,73,RU,broken clouds,84,67.41,48.45,0.0,0.0,4.9,32.55
89,port lincoln,5,AU,clear sky,75,-34.73,55.67,0.0,0.0,9.6,135.87
90,provideniya,75,RU,broken clouds,62,64.38,42.8,0.0,0.0,13.42,-173.3
91,arraial do cabo,37,BR,scattered clouds,76,-22.97,72.37,0.0,0.0,20.02,-42.03
92,rawson,18,AR,few clouds,59,-43.3,42.01,0.0,0.0,9.66,-65.1
93,tatawin,0,TN,clear sky,39,32.93,78.8,0.0,0.0,4.7,10.45
94,lithakia,0,GR,clear sky,88,37.72,68.0,0.0,0.0,2.24,20.83
95,portland,75,US,broken clouds,57,45.52,78.01,0.0,0.0,3.36,-122.68
96,xihua,0,CN,clear sky,66,33.78,81.5,0.0,0.0,1.99,114.52
97,saskylakh,1,RU,clear sky,27,71.92,82.31,0.0,0.0,7.14,114.08
98,wajima,92,JP,overcast clouds,81,37.4,74.01,0.0,0.0,2.15,136.9
99,rikitea,89,PF,overcast clouds,56,-23.12,70.66,0.0,0.0,10.56,-134.97
100,castro,24,BR,few clouds,89,-24.79,56.23,0.0,0.0,4.03,-50.01
101,clyde river,1,CA,clear sky,70,70.47,46.4,0.0,0.0,13.87,-68.59
102,dubbo,90,AU,overcast clouds,93,-32.25,48.2,0.0,0.0,1.12,148.62
103,omsukchan,5,RU,clear sky,29,62.53,72.43,0.0,0.0,6.49,155.8
104,mildura,90,AU,overcast clouds,100,-34.2,41.0,0.0,0.0,4.7,142.15
105,tuktoyaktuk,40,CA,scattered clouds,79,69.45,44.6,0.0,0.0,9.17,-133.04
106,sawtell,0,AU,clear sky,66,-30.38,57.99,0.0,0.0,11.41,153.1
107,touros,75,BR,broken clouds,78,-5.2,77.0,0.0,0.0,5.82,-35.46
108,knysna,0,ZA,clear sky,15,-34.04,78.8,0.0,0.0,20.8,23.05
109,kapaa,1,US,clear sky,65,22.08,82.4,0.0,0.0,9.17,-159.32
110,cape town,1,ZA,clear sky,67,-33.93,60.01,0.0,0.0,11.41,18.42
111,chokurdakh,32,RU,scattered clouds,32,70.63,74.97,0.0,0.0,7.27,147.92
112,dukat,6,RU,clear sky,31,62.55,69.6,0.0,0.0,5.75,155.55
113,senno,76,RU,broken clouds,79,59.53,58.32,0.0,0.0,3.62,33.92
114,the valley,20,AI,few clouds,78,18.22,84.0,0.0,0.0,8.99,-63.06
115,busselton,95,AU,overcast clouds,70,-33.65,51.01,0.0,0.0,7.78,115.33
116,souillac,40,MU,shower rain,83,-20.52,71.6,0.0,0.0,9.17,57.52
117,richards bay,0,ZA,clear sky,69,-28.78,63.7,0.0,0.0,13.09,32.04
