City_ID,City,Country,Max Temp,Lat,lng,Hotel Name
0,soyo,AO,73.42,-6.13,12.37,Hotel Mpampa
4,marawi,PH,77.0,8.0,124.29,Derogongan Residence
6,albany,US,82.0,42.6,-73.97,
9,sept-iles,CA,68.0,50.2,-66.38,Comfort Inn
11,jamestown,US,69.01,42.1,-79.24,Hampton Inn & Suites Jamestown
13,korla,CN,74.7,41.76,86.15,Gulisitan Hotel
14,atuona,PF,79.32,-9.8,-139.03,Villa Enata
15,salta,AR,66.2,-24.79,-65.41,Hotel Alejandro I
17,yellowknife,CA,69.8,62.46,-114.35,The Explorer Hotel
21,zhigansk,RU,69.64,66.77,123.37,Gostinichnyy Kompleks Aylgy
23,east london,ZA,68.61,-33.02,27.91,Tu Casa
24,bathsheba,BB,82.4,13.22,-59.52,Atlantis Hotel
27,cap-aux-meules,CA,73.4,47.38,-61.86,Auberge Madeli
29,puerto ayora,EC,72.0,-0.74,-90.35,Finch Bay Galapagos Hotel
30,quatre cocos,MU,71.6,-20.21,57.76,Veranda Palmar Beach Hotel
34,puerto madero,MX,89.6,14.72,-92.42,Hotel Perla del Pacífico
35,lagoa,PT,63.27,39.05,-27.98,Casa Das Faias
36,la ronge,CA,66.2,55.1,-105.28,Northland Motor Hotel
37,bengkulu,ID,76.71,-3.8,102.27,Grage Hotel Bengkulu
40,abha,SA,71.6,18.22,42.51,Abha Hotel
41,oranjestad,AW,86.0,12.52,-70.03,Divi Village Golf & Beach Resort
42,kahului,US,87.8,20.89,-156.47,Maui Seaside Hotel
43,bambous virieux,MU,71.6,-20.34,57.76,Casa Tia Villa
44,aitape,PG,82.98,-3.14,142.35,
45,port alfred,ZA,69.01,-33.59,26.89,The Halyards Hotel
47,lompoc,US,69.8,34.64,-120.46,Holiday Inn Express Lompoc
48,vaini,TO,77.0,-21.2,-175.2,Keleti Beach Resort
49,khlung,TH,80.47,12.45,102.22,Bai Phai Resort
53,pacific grove,US,71.01,36.62,-121.92,Lovers Point Inn
55,isangel,VU,77.0,-19.55,169.27,Volcano Sea View Tree House
56,khatanga,RU,75.02,71.97,102.5,"Gostinitsa ""Zapolyar'ye"""
57,yining,CN,76.23,29.04,114.56,Xiushui Hotel
61,srednekolymsk,RU,75.16,67.45,153.68,
62,thompson,CA,82.4,55.74,-97.86,Burntwood Hotel
63,katsuura,JP,68.0,35.13,140.3,Katsuura Hilltop Hotel & Residence
64,nikolskoye,RU,61.0,59.7,30.79,Tourist House - Sablino
65,namibe,AO,69.55,-15.2,12.15,Hotel Chik Chik Namibe
66,avera,US,86.0,33.19,-82.53,
67,georgetown,MY,78.8,5.41,100.34,Cititel Penang
68,padang,ID,78.67,-0.95,100.35,Mercure Padang
69,avarua,CK,77.0,-21.21,-159.78,Paradise Inn
70,hilo,US,80.6,19.73,-155.09,Hilo Hawaiian Hotel
71,nicoya,CR,86.0,10.15,-85.45,Guayacan Real
72,fortuna,US,69.01,40.6,-124.16,Super 8 by Wyndham Fortuna
73,nouadhibou,MR,71.6,20.93,-17.03,El Medina
75,madras,IN,82.4,13.09,80.28,"Taj Connemara, Chennai"
76,kefamenanu,ID,70.5,-9.45,124.48,PAULUS TAITOH
78,sri aman,MY,73.4,1.24,111.46,Seri Simanggang Hotel
