City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Guarapari,-20.67,-40.5,64.99,93,20,2.24,BR,2020-06-23 02:57:58
1,Bredasdorp,-34.53,20.04,41.0,93,10,3.58,ZA,2020-06-23 03:04:20
2,Barrow,71.29,-156.79,35.6,80,75,16.11,US,2020-06-23 03:00:02
3,Busselton,-33.65,115.33,61.0,83,27,4.0,AU,2020-06-23 03:04:21
4,Hithadhoo,-0.6,73.08,84.47,72,13,9.78,MV,2020-06-23 03:04:21
5,Albany,42.6,-73.97,82.0,88,7,3.06,US,2020-06-23 02:59:30
6,Punta Arenas,-53.15,-70.92,41.0,86,100,16.11,CL,2020-06-23 03:04:21
7,Yellowknife,62.46,-114.35,69.01,39,75,12.75,CA,2020-06-23 03:02:11
8,Tuktoyaktuk,69.45,-133.04,60.8,55,75,11.41,CA,2020-06-23 03:03:06
9,Port Alfred,-33.59,26.89,57.99,57,0,1.01,ZA,2020-06-23 03:04:22
10,Usinsk,65.99,57.53,43.57,93,100,8.14,RU,2020-06-23 03:04:22
11,Provideniya,64.38,-173.3,44.6,81,90,15.66,RU,2020-06-23 03:04:22
12,Sao Felix Do Xingu,-6.64,-51.99,69.89,85,5,2.19,BR,2020-06-23 03:04:23
13,Zhezkazgan,47.8,67.71,68.0,40,1,13.42,KZ,2020-06-23 03:04:23
14,Ponta Do Sol,32.67,-17.1,69.8,64,40,9.17,PT,2020-06-23 03:04:23
15,Los Llanos De Aridane,28.66,-17.92,71.6,68,90,13.87,ES,2020-06-23 03:04:23
16,Saint-Denis,48.92,2.33,59.0,82,0,4.7,FR,2020-06-23 03:04:23
17,Miquelon,47.1,-56.38,54.1,100,100,10.38,PM,2020-06-23 03:04:24
18,Damghan,36.17,54.35,71.98,26,0,2.82,IR,2020-06-23 03:04:24
19,Saint-Philippe,-21.36,55.77,64.4,82,48,4.7,RE,2020-06-23 03:04:24
20,Cordoba,-31.41,-64.18,52.0,81,42,1.12,AR,2020-06-23 03:00:08
21,New Norfolk,-42.78,147.06,55.0,91,100,3.0,AU,2020-06-23 03:04:24
22,Dingle,11.0,122.67,88.65,61,32,5.88,PH,2020-06-23 03:04:24
23,Saskylakh,71.92,114.08,86.38,24,7,8.03,RU,2020-06-23 03:04:25
24,Mataura,-46.19,168.86,49.93,72,76,1.16,NZ,2020-06-23 03:04:25
25,Telica,12.52,-86.86,77.09,88,83,5.5,NI,2020-06-23 03:04:25
26,Rikitea,-23.12,-134.97,70.25,56,34,15.39,PF,2020-06-23 03:04:25
27,Norman Wells,65.28,-126.83,55.4,93,90,6.93,CA,2020-06-23 03:04:25
28,Ribeira Grande,38.52,-28.7,66.85,94,48,11.7,PT,2020-06-23 03:04:25
29,General Pico,-35.66,-63.76,46.45,83,8,8.86,AR,2020-06-23 03:04:26
30,Pevek,69.7,170.31,32.02,97,7,16.53,RU,2020-06-23 03:04:26
31,Baruun-Urt,46.68,113.28,68.99,62,44,5.06,MN,2020-06-23 03:04:26
32,Omsukchan,62.53,155.8,79.86,25,55,4.32,RU,2020-06-23 03:04:26
33,Garden City,42.33,-83.33,77.0,73,75,5.82,US,2020-06-23 03:04:26
34,Yumen,40.28,97.2,82.94,14,0,13.15,CN,2020-06-23 03:04:26
35,Politika,38.6,23.55,69.01,93,40,4.7,GR,2020-06-23 03:04:27
36,Ushuaia,-54.8,-68.3,33.8,86,40,4.7,AR,2020-06-23 03:03:21
37,Adrar,20.5,-10.07,96.33,11,70,15.1,MR,2020-06-23 03:04:27
38,Hobart,-42.88,147.33,55.0,93,75,19.46,AU,2020-06-23 03:00:47
39,Ketchikan,55.34,-131.65,55.4,93,90,11.41,US,2020-06-23 03:04:28
40,Atuona,-9.8,-139.03,79.84,76,20,13.96,PF,2020-06-23 03:03:36
41,Ilhabela,-23.78,-45.36,71.42,67,68,2.53,BR,2020-06-23 03:04:28
42,Castro,-24.79,-50.01,56.84,83,0,3.49,BR,2020-06-23 03:00:17
43,Avera,33.19,-82.53,77.0,69,40,4.7,US,2020-06-23 03:03:56
44,Praia Da Vitoria,38.73,-27.07,66.2,93,75,12.3,PT,2020-06-23 03:04:28
45,Sola,-13.88,167.55,82.15,78,83,13.89,VU,2020-06-23 03:01:05
46,Lodja,-3.48,23.43,71.38,64,26,1.63,CD,2020-06-23 03:04:29
47,Cape Town,-33.93,18.42,53.01,100,0,6.93,ZA,2020-06-23 03:03:01
48,Qaanaaq,77.48,-69.36,37.62,88,100,1.97,GL,2020-06-23 03:04:29
49,Khudumelapye,-23.88,24.75,44.56,57,0,6.51,BW,2020-06-23 03:04:29
50,Gorontalo,0.54,123.06,86.68,65,13,9.37,ID,2020-06-23 03:04:29
51,Vaini,-21.2,-175.2,78.8,83,75,9.17,TO,2020-06-23 03:03:36
52,Port Hardy,50.7,-127.42,55.4,93,90,11.41,CA,2020-06-23 03:02:52
53,Bud,39.45,-86.18,75.0,82,100,10.69,US,2020-06-23 03:04:30
54,Ilulissat,69.22,-51.1,44.6,75,32,4.7,GL,2020-06-23 03:04:30
55,Lata,40.16,-8.33,64.0,95,0,1.23,PT,2020-06-23 03:04:30
56,Jamestown,42.1,-79.24,68.0,93,90,4.7,US,2020-06-23 03:03:46
57,Kostelec Nad Cernymi Lesy,49.99,14.86,60.8,67,4,5.82,CZ,2020-06-23 03:04:31
58,Soligalich,59.08,42.29,55.38,72,7,4.99,RU,2020-06-23 03:04:31
59,Hilo,19.73,-155.09,84.2,48,20,11.41,US,2020-06-23 03:04:31
60,Kruisfontein,-34.0,24.73,51.91,45,0,6.26,ZA,2020-06-23 03:04:31
61,Awjilah,29.11,21.29,65.75,83,0,7.25,LY,2020-06-23 03:03:05
62,Ostrovnoy,68.05,39.51,39.22,76,100,19.42,RU,2020-06-23 03:04:31
63,Dikson,73.51,80.55,46.85,79,55,12.41,RU,2020-06-23 03:04:32
64,Deli Tua,3.51,98.68,80.6,83,40,6.93,ID,2020-06-23 03:04:32
65,East London,-33.02,27.91,63.01,32,0,6.67,ZA,2020-06-23 03:03:41
66,Port Blair,11.67,92.75,84.52,74,77,7.52,IN,2020-06-23 03:04:32
67,Mareeba,-17.0,145.43,81.0,54,0,13.87,AU,2020-06-23 03:04:33
68,Nikolskoye,59.7,30.79,57.2,67,0,1.43,RU,2020-06-23 03:04:33
69,Atasu,48.68,71.64,78.76,19,50,5.01,KZ,2020-06-23 03:04:33
70,Thompson,55.74,-97.86,64.4,72,20,4.7,CA,2020-06-23 03:04:33
71,Pangnirtung,66.15,-65.71,46.36,67,92,1.1,CA,2020-06-23 03:04:33
72,Ambilobe,-13.2,49.05,66.51,81,40,4.07,MG,2020-06-23 03:04:34
